X,Y,OBJECTID,BLDG_ID,BID,ADDRESS,POINT_X,POINT_Y,NAME,NEIGHBORHOOD,CITY,ZIP,FT_SQFT,STORY_HT,PARCEL_ID
-71.124269436436293,42.256481540531148,1,Bos_1809107000_B0,100639,1249 Hyde Park Ave,757882.7161196,2918709.80817918,District E-18 Police Station,Hyde Park,Boston,02136,8585,2,1809107000
-71.148367753500295,42.286785594068739,2,Bos_2005719000_B0,112112,1708 Centre St,751313.45596419,2929725.22742127,District E-5 Police Station,West Roxbury,Boston,02132,7708,2,2005719000
-71.038676422262,42.371057781911908,3,Bos_0105699000_B0,131503,69 Paris St,780827.98945469,2960576.84813261,District A-7 Police Station,East Boston,Boston,02128,5063,2,0105699000
-71.060307267102033,42.36182512483834,4,Bos_0302626000_B0,136171,40 New Sudbury St,775000.19336753,2957181.41102585,District A-1 Police Station,Boston,Boston,02114,6882,5,0302626000
-71.150578318124062,42.349394510980034,5,Bos_2202387000_B0,145004,301 Washington St,750621.84612694,2952538.58205694,District D-14 Police Station,Brighton,Boston,02135,8712,2,2202387000
-71.056047130896047,42.376466657027557,6,Bos_0202644020_B0,148316,20 Vine St,776123.77510986,2962523.04371527,District A-15 Police Station,Charlestown,Boston,02129,,,0202644020
-71.054936284886793,42.341164040750563,7,Bos_0600118000_B0,154919,101 W Broadway,776491.05291861,2949659.65507202,District C-6 Police Station,South Boston,Boston,02127,8528,2,0600118000
-71.069239757002947,42.339439673100109,8,Bos_0801170010_B0,162100,650 Harrison Ave,772627.27718161,2949011.41128977,District D-4 Police Station,Boston,Boston,02118,12382,3,0801170010
-71.090747519512675,42.334192330772488,9,Bos_0902771010_B0,163892,One Schroeder Plz,766821.65559077,2947070.55132635,Boston Police Headquarters,Roxbury,Boston,02120,194000,4,0902771010
-71.085684348919983,42.328385389008155,10,Bos_1201261000_B0,176508,2400 Washington St,768200.91759603,2944961.00797327,District B-2 Police Station,Roxbury,Boston,02119,10809,3,1201261000
-71.104639216747401,42.309722445244418,11,Bos_1102261000_B0,180965,3345 Washington St,763106.94123544,2938135.58428818,District E-13 Police Station,Jamaica Plain,Boston,02130,8312,2,1102261000
-71.091701991396206,42.284728929101234,12,Bos_1404623000_B0,186089,1165 Blue Hill Ave,766649.86886086,2929044.05161826,District B-3 Police Station,Mattapan,Boston,02124,9740,1.5,1404623000
-71.05916492056069,42.298065504218826,13,Bos_1600673000_B0,189445,40 Gibson St,775429.01239178,2933947.91156119,District C-11 Police Station,Dorchester,Boston,02122,15338,2,1600673000
