X,Y,OBJECTID_1,OBJECTID,BFD_ID,MAP_ID,MAPCODE,LOCCODE,LOCDEPT,LOCNAME,LOCCONTACT,LOCPHONE,LOCSTNO,LOCADDR,LOCOWNER,LOCWARD,LOCPARCL,LOCPRECT,LOCPLAN,STUDY,ABOVE,ABOVE_DESC,SOURCE,GEOADDRESS,PD,CT90,XCOORD,YCOORD
-71.037152460634715,42.33496896786874,1,1,1,068,2,000,BFD,"ENGINE CO. 2, 19",Cptn. Bruynell,725-2802,700,EAST 4TH STREET,BFD,06,00000, ,F,T,3,"(2)275g Diesel, (1)1000g FO",FP,700 EAST 4TH STREET,SOUTH BOSTON,603,71037270,42334683
-71.068600952689607,42.339871044006365,2,2,2,071,2,002,BFD,ENGINE CO. 3,Cptn. Reynolds or Yanovitch,338-9018,618,HARRISON AVE,BFD,08,00000, ,F,T,0, ,FP,618 HARRISON AVE,SOUTH END,712,71069485,42339757
-71.065680584590027,42.360842065518554,3,3,3,036,2,003,BFD,"ENGINE CO. 4, 24",Ltnt. Borden,725-2804,200,CAMBRIDGE ST,BFD,03,00000, ,F,T,1,(1)500g diesel,FP,200 CAMBRIDGE ST,BACK BAY/BEACON HILL,202,71066570,42361100
-71.030238935296367,42.379119371555412,4,4,4,053,2,004,BFD,ENGINE CO. 5,Ltnt. Bancroft,725-2805,360,SARATOGA ST,BFD,01,00507, ,F,T,1,(1)990g FO Basement,P,360 SARATOGA ST,EAST BOSTON,502,71031395,42378743
-71.070985781451839,42.34892377382026,5,5,5,040,2,005,BFD,"ENGINE CO. 7, 17",Ltnt. Creamer,725-2807,200,COLUMBUS AVE,BFD,05,00000, ,F,T,1,(1)500g Diesel,FPA,200 COLUMBUS AVE,CENTRAL,703,71072396,42348486
-71.053144913688428,42.365780302229957,6,6,6,041,2,006,BFD,"ENGINE CO. 8, 1",Ltnt. Bob Kavanagh,725-2808,392,HANOVER ST,BFD,03,00000, ,F,T,3,(3)250g Diesel,P,382 HANOVER ST,CENTRAL,304,71053800,42365770
-71.038717327698848,42.368053869602555,7,7,7,054,2,007,BFD,"ENGINE CO. 9, 2",Cptn. Bishop,725-2809,239,SUMNER ST,BFD,01,00000, ,F,T,0, ,FP,241 SUMNER ST,EAST BOSTON,504,71039161,42368128
-71.082337125332529,42.328843082552581,8,8,8,065,2,008,BFD,"ENGINE CO. 14, 4",Cptn. Mckenna,725-2814,174,DUDLEY ST,BFD,08,00000, ,F,T,0, ,FP,174 DUDLEY ST,ROXBURY,804,71083008,42328367
-71.078785913517891,42.278256154644261,9,9,9,061,2,009,BFD,ENGINE CO. 16,Cptn Santiano,725-2816,9,GALLIVAN BLVD,BFD,17,00000, ,F,T,0, ,FPA,9 GALLIVAN BLVD,MATTAPAN,1009,71079859,42278446
-71.061601734090928,42.30772859011406,10,10,10,046,2,010,BFD,"ENGINE CO. 17, 7",Ltnt. Flaherty,725-2817,7,PARISH ST,BFD,15,00000, ,F,T,1,(1)275g Diesel,FD,7 PARISH ST,DORCHESTER,916,71062882,42307980
