"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0021438","0","04/01/2018","00:02:24","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","400 ","Residential, Other                                ","75      ","  ","SAINT ALPHONSUS          ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0021440","0","04/01/2018","01:18:12","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","119     ","  ","MAXWELL                  ","  ","ST  ",": #INS1085                              ","  ","                         ","  ","    "
"18-0021442","0","04/01/2018","01:32:44","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","963 ","Street or road in commercial area                 ","        ","  ","BLUE HILL                ","  ","AVE ",": alias BHA/RIVER                       ","  ","RIVER                    ","  ","ST  "
"18-0021444","0","04/01/2018","01:53:12","113 ","Cooking fire, confined to container               ","100.0000","100.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","673     ","E ","EIGHTH                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0021447","0","04/01/2018","02:15:51","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","460 ","Dormitory-type residence, other                   ","757     ","  ","SHAWMUT                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0021448","0","04/01/2018","02:27:23","111 ","Building fire                                     ","50000.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","881 ","Parking garage, (detached residential garage)     ","439     ","  ","DUDLEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0021451","0","04/01/2018","03:40:09","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","963 ","Street or road in commercial area                 ","        ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","TALBOT                   ","  ","AVE "
"18-0021452","0","04/01/2018","04:14:50","442 ","Overheated motor                                  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","429 ","Multifamily dwelling                              ","161     ","  ","DEVONSHIRE               ","  ","ST  ",": #13-1274                              ","  ","                         ","  ","    "
"18-0021455","0","04/01/2018","05:07:07","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","               ","","02215     ","960 ","Street, Other                                     ","        ","  ","BOYLSTON                 ","  ","ST  ",": EST 7 PARK DR BO BSTN                 ","  ","PETERBOROUGH             ","  ","ST  "
"18-0021457","0","04/01/2018","05:20:33","422 ","Chemical spill or leak                            ","0.0000","0.0000","11   ","               ","","02134     ","961 ","Highway or divided highway                        ","        ","  ","ALLSTON TOLL             ","  ","PLZ ",": EST MASSACHUSETTS TPKE E BR BSTN: @EX-","E ","I 90                     ","  ","    "
