"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0049809","0","08/01/2018","00:17:41","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","10      ","E ","BROOKLINE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049811","0","08/01/2018","00:31:25","424 ","Carbon monoxide incident                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","99      ","  ","MELVILLE                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049812","0","08/01/2018","00:35:02","554 ","Assist invalid                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","439 ","Boarding/rooming house, residential hotels        ","225     ","W ","SECOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049813","0","08/01/2018","00:48:26","551 ","Assist police or other governmental agency        ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","9       ","W ","BROADWAY                 ","  ","    ",": @MBTA STA-BROADWAY                    ","  ","                         ","  ","    "
"18-0049814","0","08/01/2018","01:10:46","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","56      ","  ","BAXTER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049817","0","08/01/2018","01:39:05","522 ","Water or steam leak                               ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","240     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049819","0","08/01/2018","02:05:39","714 ","Central station, malicious false alarm            ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","110     ","  ","CHESTER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049820","0","08/01/2018","02:17:47","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","459 ","Residential board and care                        ","1       ","  ","CLIFFMONT                ","  ","ST  ",": #13-2649                              ","  ","                         ","  ","    "
"18-0049823","0","08/01/2018","02:47:45","130 ","Mobile property (vehicle) fire, Other             ","75000.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","880 ","Vehicle storage, Other                            ","345     ","  ","DORCHESTER               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049824","0","08/01/2018","03:06:30","511 ","Lock-out                                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","660     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049826","0","08/01/2018","03:43:32","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","419 ","1 or 2 family dwelling                            ","284     ","  ","BOWEN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049828","0","08/01/2018","04:53:32","713 ","Telephone, malicious false alarm                  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","89      ","  ","BOWDOIN                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049830","0","08/01/2018","05:30:59","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","1990    ","  ","COLUMBUS                 ","  ","AVE ",": @BHA-WALNUT PARK                      ","  ","                         ","  ","    "
"18-0049833","0","08/01/2018","05:52:58","552 ","Police matter                                     ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","49      ","  ","RALDNE                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0049834","0","08/01/2018","06:09:00","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","870     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049835","0","08/01/2018","06:17:58","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","139     ","E ","BERKELEY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049836","0","08/01/2018","06:23:54","554 ","Assist invalid                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","439 ","Boarding/rooming house, residential hotels        ","225     ","W ","SECOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049837","0","08/01/2018","06:29:06","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","99      ","  ","MELVILLE                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049839","0","08/01/2018","06:42:32","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","5       ","  ","OAK                      ","W ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049840","0","08/01/2018","06:59:44","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02130     ","960 ","Street, Other                                     ","        ","  ","HEATH                    ","  ","ST  ","                                        ","  ","LAWN                     ","  ","ST  "
"18-0049841","0","08/01/2018","07:10:29","462 ","Aircraft standby                                  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","972 ","Aircraft runway                                   ","204     ","  ","PRESCOTT                 ","  ","ST  ",": @LOG-NORTH GATE STG                   ","  ","                         ","  ","    "
"18-0049842","0","08/01/2018","07:20:42","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","564 ","Laundry, dry cleaning                             ","80      ","E ","COTTAGE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049843","0","08/01/2018","07:27:51","424 ","Carbon monoxide incident                          ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","40      ","  ","DALESSIO                 ","  ","CT  ","                                        ","  ","                         ","  ","    "
"18-0049844","0","08/01/2018","07:31:57","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","152 ","Museum                                            ","1       ","  ","SCIENCE                  ","  ","PARK",": #13-1344                              ","  ","                         ","  ","    "
"18-0049845","0","08/01/2018","07:42:59","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","213 ","Elementary school, including kindergarten         ","11      ","  ","CHARLES                  ","  ","ST  ",": #12-3148                              ","  ","                         ","  ","    "
"18-0049847","0","08/01/2018","07:58:34","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","419 ","1 or 2 family dwelling                            ","78      ","  ","MOUNT VERNON             ","  ","ST  ",": #WYN3209                              ","  ","                         ","  ","    "
"18-0049848","0","08/01/2018","08:01:22","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","100     ","  ","SUMMER                   ","  ","ST  ",": #12-1431                              ","  ","                         ","  ","    "
"18-0049852","0","08/01/2018","08:28:59","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","131 ","Church, mosque, synagogue, temple, chapel         ","250     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049853","0","08/01/2018","08:35:15","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","963 ","Street or road in commercial area                 ","308     ","  ","CONGRESS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049854","0","08/01/2018","08:45:16","511 ","Lock-out                                          ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","960 ","Street, Other                                     ","34      ","S ","RUSSELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049855","0","08/01/2018","09:02:01","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","131 ","Church, mosque, synagogue, temple, chapel         ","20      ","  ","REED                     ","  ","ST  ",": #INS1181                              ","  ","                         ","  ","    "
"18-0049856","0","08/01/2018","09:03:25","500 ","Service Call, other                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","104-106 ","  ","WOODLEDGE                ","  ","ST  ",": #INS1178                              ","  ","                         ","  ","    "
"18-0049857","0","08/01/2018","09:07:58","100 ","Fire, Other                                       ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","94      ","  ","HUTCHINGS                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049858","0","08/01/2018","09:12:00","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","931 ","Open land or field                                ","38      ","  ","BEACON                   ","  ","ST  ",": @PARK-BOSTON COMMON                   ","  ","                         ","  ","    "
"18-0049862","0","08/01/2018","09:33:21","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","900     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0049864","0","08/01/2018","09:35:11","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","419 ","1 or 2 family dwelling                            ","27      ","S ","MUNROE                   ","  ","TER ","                                        ","  ","                         ","  ","    "
"18-0049865","0","08/01/2018","09:37:50","900 ","Special type of incident, Other                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","210 ","Schools, non-adult, other                         ","200     ","  ","HEATH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049866","0","08/01/2018","09:39:14","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","400 ","Residential, Other                                ","80      ","  ","FENWOOD                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0049867","0","08/01/2018","09:57:34","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","000 ","Property Use, Other                               ","700     ","  ","TREMONT                  ","  ","ST  ",": @BFD ENG 22                           ","  ","                         ","  ","    "
"18-0049869","0","08/01/2018","09:59:33","900T","BFD Drill                                         ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","000 ","Property Use, Other                               ","1       ","  ","ASHLEY                   ","  ","ST  ",": @BFD ENG 56                           ","  ","                         ","  ","    "
"18-0049871","0","08/01/2018","10:15:08","900T","BFD Drill                                         ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","965 ","Vehicle parking area                              ","301     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049872","0","08/01/2018","10:18:50","900T","BFD Drill                                         ","0.0000","0.0000","03   ","               ","","00000     ","941 ","Open ocean, sea or tidal waters                   ","        ","  ","INNER HARBOR             ","  ","    ",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ","  ","                         ","  ","    "
"18-0049873","0","08/01/2018","10:28:11","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","    ","","1350    ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049874","0","08/01/2018","10:29:13","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","5-23    ","  ","TURQUOISE                ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0049877","0","08/01/2018","10:36:11","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","960 ","Street, Other                                     ","150     ","  ","BERNARD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049878","0","08/01/2018","10:45:01","100 ","Fire, Other                                       ","0.0000","250.0000","03   ","BO             ","Boston                                            ","02114     ","439 ","Boarding/rooming house, residential hotels        ","37      ","  ","BOWDOIN                  ","  ","ST  ",": #AFA7905                              ","  ","                         ","  ","    "
"18-0049879","0","08/01/2018","10:49:21","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","106     ","  ","CLARKSON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049880","0","08/01/2018","10:54:16","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","66      ","  ","BYRON                    ","  ","ST  ",": #WYN4838                              ","  ","                         ","  ","    "
"18-0049882","0","08/01/2018","11:05:56","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","    ","","137     ","  ","PARIS                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0049883","0","08/01/2018","11:12:59","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","44      ","  ","CUMMINGS                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
