"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0008077","0","02/01/2018","00:07:35","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","52-58   ","  ","FRANKLIN HILL            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008078","0","02/01/2018","00:07:50","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","    ","","110     ","  ","PETERBOROUGH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008081","0","02/01/2018","01:06:34","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","118     ","  ","CHARLES                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008084","0","02/01/2018","01:22:37","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","114     ","  ","HEMENWAY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008085","0","02/01/2018","01:27:54","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","241 ","Adult education center, college classroom         ","621     ","  ","HUNTINGTON               ","  ","AVE ",": #19-2363                              ","  ","                         ","  ","    "
"18-0008088","0","02/01/2018","02:41:09","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","162 ","Bar or nightclub                                  ","21      ","  ","TEMPLE                   ","  ","PL  ",": #WYN4613                              ","  ","                         ","  ","    "
"18-0008090","0","02/01/2018","02:59:09","553 ","Public service                                    ","0.0000","0.0000","06   ","               ","","02127     ","900 ","Outside or special property, Other                ","        ","  ","MASSPORT HAUL            ","  ","RD  ",": #MTA235                               ","  ","                         ","  ","    "
"18-0008091","0","02/01/2018","03:35:32","551 ","Assist police or other governmental agency        ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","961 ","Highway or divided highway                        ","        ","  ","FRONTAGE                 ","  ","RD  ",": alias FRONTAGE RD/HAUL RD RX BSTN     ","  ","MASSPORT HAUL            ","  ","RD  "
"18-0008092","0","02/01/2018","04:35:31","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02125     ","400 ","Residential, Other                                ","61      ","  ","CLIFTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008093","0","02/01/2018","04:40:26","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","    ","","49      ","  ","TEMPLE                   ","  ","PL  ","                                        ","  ","                         ","  ","    "
"18-0008094","0","02/01/2018","05:03:44","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","100     ","S ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008095","0","02/01/2018","05:03:59","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","460     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008096","0","02/01/2018","05:13:55","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","230     ","  ","STUART                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008097","0","02/01/2018","05:14:47","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","416-418 ","  ","HANOVER                  ","  ","ST  ",": #INS846                               ","  ","                         ","  ","    "
"18-0008099","0","02/01/2018","05:51:58","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","230     ","  ","STUART                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008100","0","02/01/2018","05:52:18","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","444     ","  ","HARRISON                 ","  ","AVE ",": @PINE STREET INN INC - 444 HARRISON AV","  ","                         ","  ","    "
