"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0000001","0","01/01/2018","00:03:29","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","384     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0000005","0","01/01/2018","00:14:02","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","419 ","1 or 2 family dwelling                            ","5       ","  ","RADNOR                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0000007","0","01/01/2018","00:19:05","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","599 ","Business office                                   ","626     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0000008","0","01/01/2018","00:19:59","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","180E    ","  ","STRATTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0000009","0","01/01/2018","00:24:59","522 ","Water or steam leak                               ","0.0000","0.0000","07   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","860     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0000010","0","01/01/2018","00:27:05","511 ","Lock-out                                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","419 ","1 or 2 family dwelling                            ","30      ","  ","ISABELLA                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0000011","0","01/01/2018","00:35:28","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","181     ","  ","WEBSTER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0000012","0","01/01/2018","00:37:28","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","35      ","  ","NORTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0000013","0","01/01/2018","00:39:09","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","45-49   ","  ","HORADAN                  ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0000015","0","01/01/2018","00:54:42","500 ","Service Call, other                               ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","429 ","Multifamily dwelling                              ","27      ","  ","BRADEEN                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
