"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0042338","0","07/01/2018","01:17:36","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","963 ","Street or road in commercial area                 ","        ","  ","BERKELEY                 ","  ","ST  ","                                        ","  ","NEWBURY                  ","  ","ST  "
"18-0042341","0","07/01/2018","02:11:00","500 ","Service Call, other                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","40      ","  ","APPLETON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042344","0","07/01/2018","02:21:30","552 ","Police matter                                     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","900 ","Outside or special property, Other                ","800     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042346","0","07/01/2018","02:53:01","111 ","Building fire                                     ","200000.0000","100000.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","126     ","  ","ARMANDINE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042348","0","07/01/2018","03:22:53","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","419 ","1 or 2 family dwelling                            ","48      ","  ","BROOKS                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042350","0","07/01/2018","03:56:49","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","3       ","  ","DUNBOY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042355","0","07/01/2018","04:41:33","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","900 ","Outside or special property, Other                ","190     ","  ","COMMERCIAL               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042356","0","07/01/2018","04:43:56","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","ALLERTON                 ","  ","ST  ","                                        ","  ","MAGAZINE                 ","  ","ST  "
"18-0042357","0","07/01/2018","04:46:26","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","131 ","Church, mosque, synagogue, temple, chapel         ","1285    ","  ","HYDE PARK                ","  ","AVE ",": @CH-MT OLIVE EVANGELICAL CHURCH - 1285","  ","                         ","  ","    "
"18-0042358","0","07/01/2018","05:19:22","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","400 ","Residential, Other                                ","456     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042360","0","07/01/2018","05:22:49","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","400 ","Residential, Other                                ","97      ","  ","BROOKLEY                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0042361","0","07/01/2018","05:26:44","554 ","Assist invalid                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","400 ","Residential, Other                                ","108     ","  ","KILMARNOCK               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042363","0","07/01/2018","05:37:35","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","LAMBERT                  ","  ","AVE ","                                        ","  ","NORFOLK                  ","  ","ST  "
"18-0042365","0","07/01/2018","06:07:04","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","579 ","Motor vehicle or boat sales, services, repair     ","1600    ","  ","SOLDIERS FIELD           ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0042367","0","07/01/2018","06:25:33","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","822     ","  ","CANTERBURY               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0042369","0","07/01/2018","06:48:18","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","305     ","  ","SOUTH                    ","  ","ST  ",": #12-2538                              ","  ","                         ","  ","    "
"18-0042370","0","07/01/2018","07:12:06","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","429 ","Multifamily dwelling                              ","650     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0042371","0","07/01/2018","07:14:22","500 ","Service Call, other                               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","439 ","Boarding/rooming house, residential hotels        ","1875    ","  ","DORCHESTER               ","  ","AVE ",": @BHA-PEABODY-ENGLEWOOD                ","  ","                         ","  ","    "
"18-0042373","0","07/01/2018","08:06:24","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","629 ","Laboratory or science laboratory                  ","24      ","  ","CUMMINGTON               ","  ","MALL",": #BU435                                ","  ","                         ","  ","    "
