"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0035078","0","06/01/2018","00:09:04","424 ","Carbon monoxide incident                          ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","429 ","Multifamily dwelling                              ","42      ","  ","MCNULTY                  ","  ","CT  ","                                        ","  ","                         ","  ","    "
"18-0035079","0","06/01/2018","00:15:57","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","MASSACHUSETTS            ","  ","AVE ",": alias MASSACHUSETTS AVE/CASS BLVD RX B","  ","MELNEA CASS              ","  ","BLVD"
"18-0035080","0","06/01/2018","00:19:07","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","        ","  ","L                        ","  ","ST  ",": alias L/E 8                           ","E ","EIGHTH                   ","  ","ST  "
"18-0035081","0","06/01/2018","00:21:12","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","429 ","Multifamily dwelling                              ","224     ","  ","NORTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035084","0","06/01/2018","02:51:29","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","    ","","536     ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035085","0","06/01/2018","03:02:01","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02115     ","460 ","Dormitory-type residence, other                   ","10      ","  ","LEON                     ","  ","ST  ",": #NEU361                               ","  ","                         ","  ","    "
"18-0035089","0","06/01/2018","03:34:16","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","1861    ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035090","0","06/01/2018","03:49:41","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","960 ","Street, Other                                     ","        ","  ","BUNKER HILL              ","  ","ST  ",": #4146                                 ","  ","LEXINGTON                ","  ","ST  "
"18-0035091","0","06/01/2018","04:04:32","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","160 ","Eating, drinking places, other                    ","77-91   ","  ","SEAPORT                  ","  ","BLVD",": #WYN4131                              ","  ","                         ","  ","    "
"18-0035093","0","06/01/2018","04:39:11","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","25      ","  ","RUGGLES                  ","  ","ST  ",": @LTC-RUGGLES ASSISTED LIVING          ","  ","                         ","  ","    "
