"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0014225","0","03/01/2018","01:27:08","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","460 ","Dormitory-type residence, other                   ","157     ","  ","BAY STATE                ","  ","RD  ",": #BU187                                ","  ","                         ","  ","    "
"18-0014227","0","03/01/2018","02:41:48","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","08   ","HP             ","Hyde Park                                         ","02126     ","429 ","Multifamily dwelling                              ","837     ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014228","0","03/01/2018","02:45:58","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","        ","  ","PERKINS                  ","  ","ST  ","                                        ","S ","HUNTINGTON               ","  ","AVE "
"18-0014230","0","03/01/2018","03:11:37","553 ","Public service                                    ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","429 ","Multifamily dwelling                              ","75      ","  ","ARCHDALE                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0014232","0","03/01/2018","03:41:57","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","755     ","  ","TREMONT                  ","  ","ST  ",": #12-1557                              ","  ","                         ","  ","    "
"18-0014233","0","03/01/2018","04:06:32","500 ","Service Call, other                               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","2262    ","  ","DORCHESTER               ","  ","AVE ",": @BHA-LOWER MILLS                      ","  ","                         ","  ","    "
"18-0014234","0","03/01/2018","04:43:39","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","419 ","1 or 2 family dwelling                            ","24      ","  ","MERRIAM                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014235","0","03/01/2018","04:50:28","113 ","Cooking fire, confined to container               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","111     ","  ","FLAHERTY                 ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0014236","0","03/01/2018","05:04:48","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","99      ","  ","CHESTNUT HILL            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014238","0","03/01/2018","05:47:33","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","64      ","  ","BEACH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014239","0","03/01/2018","05:51:14","462 ","Aircraft standby                                  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","972 ","Aircraft runway                                   ","204     ","  ","PRESCOTT                 ","  ","ST  ",": @LOG-NORTH GATE                       ","  ","                         ","  ","    "
"18-0014241","0","03/01/2018","06:31:14","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","449 ","Hotel/motel, commercial                           ","50      ","  ","PARK                     ","  ","PLZ ",": #12-1519                              ","  ","                         ","  ","    "
