"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0027776","0","05/01/2018","00:16:23","553 ","Public service                                    ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","965 ","Vehicle parking area                              ","11      ","  ","ALLSTATE                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0027777","0","05/01/2018","00:39:05","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","900 ","Outside or special property, Other                ","585     ","  ","NORFOLK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0027779","0","05/01/2018","00:50:57","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","88      ","E ","NEWTON                   ","  ","ST  ",": @HOSP-BMCEN ATRIUM                    ","  ","                         ","  ","    "
"18-0027780","0","05/01/2018","00:59:33","424 ","Carbon monoxide incident                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","58      ","  ","EDWIN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0027782","0","05/01/2018","01:44:13","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","400 ","Residential, Other                                ","618     ","E ","THIRD                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0027783","0","05/01/2018","02:33:07","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","449 ","Hotel/motel, commercial                           ","275     ","  ","TREMONT                  ","  ","ST  ",": #16-1515                              ","  ","                         ","  ","    "
"18-0027785","0","05/01/2018","02:47:34","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","600 ","Ind., utility, defense, agriculture, mining, other","14      ","  ","BUNKER HILL INDUSTRIAL   ","  ","PARK","                                        ","  ","                         ","  ","    "
"18-0027786","0","05/01/2018","03:12:04","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","133     ","  ","WESTMOOR                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0027791","0","05/01/2018","05:26:23","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","141     ","  ","HOMESTEAD                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0027792","0","05/01/2018","06:26:15","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","37      ","  ","FLEET                    ","  ","ST  ",": #INS474                               ","  ","                         ","  ","    "
