"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0065270","0","10/01/2018","00:06:24","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","21      ","  ","REGINA                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065271","0","10/01/2018","00:07:44","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","439 ","Boarding/rooming house, residential hotels        ","199     ","  ","H                        ","  ","ST  ",": @BHA-FOLEY APARTMENTS                 ","  ","                         ","  ","    "
"18-0065273","0","10/01/2018","00:16:54","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","419 ","1 or 2 family dwelling                            ","80      ","  ","MYRTLE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065275","0","10/01/2018","00:37:43","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","311 ","24-hour care Nursing homes, 4 or more persons     ","63      ","  ","PARKER HILL              ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065276","0","10/01/2018","00:55:10","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","400 ","Residential, Other                                ","1344    ","  ","HYDE PARK                ","  ","AVE ",": @BLAKE ESTATES - 1344 HYDE PARK AVE, H","  ","                         ","  ","    "
"18-0065277","0","10/01/2018","02:08:39","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","413     ","E ","FIFTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065280","0","10/01/2018","02:19:08","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","25      ","  ","MATTAPAN                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065281","0","10/01/2018","02:36:21","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","311 ","24-hour care Nursing homes, 4 or more persons     ","5060    ","  ","WASHINGTON               ","  ","ST  ",": #12-2948                              ","  ","                         ","  ","    "
"18-0065284","0","10/01/2018","02:51:14","700 ","False alarm or false call, Other                  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","400 ","Residential, Other                                ","418     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065286","0","10/01/2018","03:04:06","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","DEWITT                   ","  ","DR  ",": #2231                                 ","  ","SHAWMUT                  ","  ","AVE "
