"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0057689","0","09/01/2018","00:04:23","111 ","Building fire                                     ","1000.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","36      ","  ","MOSELEY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057693","0","09/01/2018","00:22:55","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","460 ","Dormitory-type residence, other                   ","17      ","  ","COURT                    ","  ","ST  ",": #13-1262                              ","  ","                         ","  ","    "
"18-0057694","0","09/01/2018","00:34:08","113 ","Cooking fire, confined to container               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","400 ","Residential, Other                                ","15      ","  ","EASTMONT                 ","  ","RD  ",": #WYN336                               ","  ","                         ","  ","    "
"18-0057695","0","09/01/2018","00:38:57","142 ","Brush or brush-and-grass mixture fire             ","10.0000","10.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","        ","  ","FENWAY                   ","  ","    ","                                        ","  ","AGASSIZ                  ","  ","RD  "
"18-0057696","0","09/01/2018","00:42:47","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","500 ","Mercantile, business, Other                       ","50      ","  ","CONGRESS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057698","0","09/01/2018","01:01:41","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","        ","  ","FRIEND                   ","  ","ST  ","                                        ","  ","CAUSEWAY                 ","  ","ST  "
"18-0057699","0","09/01/2018","01:02:23","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","962 ","Residential street, road or residential driveway  ","5       ","  ","REDLANDS                 ","  ","RD  ",": @LTC-STONEHEDGE REHABILITATION AND SKI","  ","                         ","  ","    "
"18-0057700","0","09/01/2018","01:05:51","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","MELNEA CASS              ","  ","BLVD",": alias CASS BLVD/MASSACHUSETTS AVE RX B","  ","MASSACHUSETTS            ","  ","AVE "
"18-0057701","0","09/01/2018","01:12:26","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1746    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057702","0","09/01/2018","01:15:50","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","900 ","Outside or special property, Other                ","        ","  ","COMMONWEALTH             ","  ","AVE ",": alias COMM AVE/ST LUKES RD            ","  ","SAINT LUKES              ","  ","RD  "
"18-0057704","0","09/01/2018","01:21:43","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","254     ","  ","FRIEND                   ","  ","ST  ",": #INS903                               ","  ","                         ","  ","    "
"18-0057705","0","09/01/2018","01:28:42","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","    ","","200     ","  ","LAKE                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057707","0","09/01/2018","01:35:01","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","254     ","  ","FRIEND                   ","  ","ST  ",": #INS903                               ","  ","                         ","  ","    "
"18-0057708","0","09/01/2018","01:39:17","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","213 ","Elementary school, including kindergarten         ","25      ","  ","WARREN                   ","  ","ST  ",": #12-5186                              ","  ","                         ","  ","    "
"18-0057709","0","09/01/2018","01:40:52","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","03   ","               ","","02114     ","922 ","Tunnel                                            ","        ","  ","INTERSTATE 93            ","  ","    ",": EST INTERSTATE 93 S BO BSTN           ","  ","LEVERETT CIRCLE CONNECTOR","  ","    "
"18-0057711","0","09/01/2018","01:48:04","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","95      ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057713","0","09/01/2018","01:52:39","553 ","Public service                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","900 ","Outside or special property, Other                ","100     ","S ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
