	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
0	74	1543340362	333	167	252	146	508	283	205562158
1	41	1533034838	178	104	164	90	253	139	205562158
2	17	1543169048	166	96	121	61	206	101	205562158
3	1	1542218588	139	79	175	98	316	183	205562158
4	8	1528473428	137	85	411	221	464	230	205562158
5	93	1532642966	123	72	199	101	274	159	205562158
6	34	1543398941	113	62	153	69	245	136	205562158
7	25	1528749081	103	52	151	79	189	109	205562158
8	10	1541875667	102	58	53	28	107	56	205562158
9	11	1526376938	102	58	206	103	378	194	205562158
10	14	1531922626	97	53	525	313	700	388	205562158
11	106	1542308856	94	52	55	26	113	55	205562158
12	21	1532636582	90	55	175	95	241	137	205562158
13	46	1523883203	79	40	66	33	113	63	205562158
14	39	1528722149	74	38	136	55	185	116	205562158
15	44	1528885429	73	32	309	178	525	287	205562158
16	15	1527678797	71	37	58	27	92	47	205562158
17	94	1528381749	70	41	94	47	132	76	205562158
18	2	1543140246	69	39	432	238	332	174	205562158
19	12	1542303037	53	25	106	51	156	88	205562158
20	9	1543146110	53	29	200	125	392	220	205562158
21	7	1542306524	50	26	327	186	376	171	205562158
22	19	1542048776	49	24	99	50	138	82	205562158
23	28	1532997242	47	24	222	129	276	150	205562158
24	36	1520880507	45	29	240	141	248	116	205562158
25	114	1542225479	44	15	118	64	156	93	205562158
26	4	1528361177	42	26	253	134	263	144	205562158
27	13	1543165426	40	19	47	24	115	64	205562158
28	109	1526546494	40	23	73	36	108	60	205562158
29	18	1528478255	38	21	143	86	252	125	205562158
30	86	1542912241	36	19	247	104	256	157	205562158
31	16	1543401725	34	18	268	141	191	115	205562158
32	98	1543144129	32	14	97	51	130	70	205562158
33	77	1526140278	32	18	48	27	66	28	205562158
34	35	1531930574	30	18	366	192	559	319	205562158
35	51	1519162958	30	14	100	53	104	53	205562158
36	67	1528055454	30	21	147	88	185	94	205562158
37	95	1528047762	29	12	135	81	188	93	205562158
38	120	1528652297	26	18	80	40	48	22	205562158
39	75	1518610989	25	18	142	75	172	93	205562158
40	88	1524660087	25	15	202	92	127	70	205562158
41	63	1520710435	23	11	137	81	161	86	205562158
42	54	1528888868	23	8	158	88	164	91	205562158
43	26	1529475477	22	11	381	200	337	187	205562158
44	70	1532109471	22	13	117	72	193	96	205562158
45	6	1502169280	21	10	210	107	298	145	205562158
46	27	1525979336	21	10	248	138	198	88	205562158
47	89	1521651737	21	11	42	19	59	39	205562158
48	104	1523717888	21	10	236	134	264	158	205562158
49	81	1526557461	21	13	64	43	146	74	205562158
50	107	1542969959	20	5	55	22	81	51	205562158
51	43	1528459774	20	9	63	35	88	48	205562158
52	49	1532171221	20	8	78	35	150	84	205562158
53	100	1532946729	20	12	126	64	134	89	205562158
54	76	1522771022	20	8	76	35	157	83	205562158
55	52	1526399883	19	7	42	25	51	27	205562158
56	23	1528542554	18	10	273	149	204	109	205562158
57	20	1524874899	18	9	174	117	196	116	205562158
58	48	1525969580	18	14	137	69	216	110	205562158
59	53	1524563513	18	5	77	35	111	77	205562158
60	72	1526488818	18	10	88	45	108	57	205562158
61	97	1528878814	18	10	131	61	190	105	205562158
62	110	1541873079	16	7	73	30	79	41	205562158
63	65	1528021299	16	5	38	13	53	34	205562158
64	78	1521534862	16	6	36	21	46	17	205562158
65	32	1533910263	16	10	275	164	297	147	205562158
66	60	1528179447	16	10	121	60	94	47	205562158
67	62	1527946978	16	7	203	108	194	107	205562158
68	101	1543482805	16	7	89	44	113	61	205562158
69	22	1528209834	15	10	280	175	242	107	205562158
70	83	1528632126	15	11	64	38	65	43	205562158
71	71	1532176821	14	7	287	161	271	144	205562158
72	31	1521658481	12	11	97	53	104	54	205562158
73	47	1528102298	12	6	267	140	175	89	205562158
74	38	1519154923	11	4	41	14	41	26	205562158
75	96	1542131750	11	8	116	67	129	67	205562158
76	59	1543343552	11	4	170	88	167	91	205562158
77	87	1524769057	11	6	186	98	138	62	205562158
78	119	1528033326	11	9	30	11	71	33	205562158
79	57	1532264912	10	5	139	79	156	80	205562158
80	56	1532763918	10	4	76	36	112	63	205562158
81	42	1521407248	9	4	106	62	201	102	205562158
82	3	1529484093	9	4	52	20	68	42	205562158
83	45	1543148024	8	1	63	28	85	46	205562158
84	68	1513643492	8	6	93	49	91	42	205562158
85	55	1515458102	8	3	52	32	68	37	205562158
86	5	1542215965	8	5	174	99	298	155	205562158
87	73	1532166055	8	7	63	32	106	63	205562158
88	90	1532261455	7	0	98	45	115	58	205562158
89	29	1524828031	7	4	141	79	145	72	205562158
90	40	1524849183	7	6	70	33	98	56	205562158
91	102	1493817510	6	4	66	38	96	50	205562158
92	69	1526492894	6	3	57	32	68	37	205562158
93	103	1528058607	5	3	33	22	68	30	205562158
94	61	1521046227	5	1	40	18	31	23	205562158
95	58	1526713758	5	4	30	14	62	36	205562158
96	85	1521712026	5	1	81	44	71	33	205562158
97	108	1532162954	5	2	102	61	66	35	205562158
98	33	1470289406	5	1	62	37	121	61	205562158
99	113	1527858589	4	2	14	4	19	9	205562158
100	80	1519306008	4	2	21	8	42	31	205562158
101	66	1525855636	4	2	19	9	21	14	205562158
102	84	1502467172	4	2	182	101	286	134	205562158
103	37	1525120629	4	1	73	42	97	50	205562158
104	64	1502453218	3	2	139	81	152	72	205562158
105	30	1523488365	3	2	227	125	205	104	205562158
106	79	1517740088	3	1	45	24	69	38	205562158
107	92	1511249063	3	1	22	11	30	12	205562158
108	112	1541959941	3	2	75	37	56	36	205562158
109	111	1507552639	3	2	42	17	36	22	205562158
110	105	1434965897	2	1	57	28	114	61	205562158
111	99	1507564837	2	1	171	93	250	139	205562158
112	91	1525853674	2	0	35	16	44	30	205562158
113	82	1475502326	2	1	52	18	102	57	205562158
114	50	1476275281	1	1	93	45	123	65	205562158
115	121	0	0	0	1	0	1	0	205562158
116	74	1480510481	457	267	637	320	794	442	171179990
117	86	1521537469	268	112	283	144	308	172	171179990
118	97	1491649728	267	149	174	81	185	103	171179990
119	14	1521300739	232	122	770	419	1114	589	171179990
120	11	1521200009	175	99	380	203	462	247	171179990
121	53	1481102610	171	73	231	116	307	196	171179990
122	82	1479631969	158	76	110	50	146	88	171179990
123	25	1481305100	149	76	270	133	294	170	171179990
124	91	1459498738	141	78	50	14	61	38	171179990
125	98	1486372939	130	70	187	89	261	151	171179990
126	9	1488954972	125	60	417	235	688	345	171179990
127	21	1481796699	125	73	384	213	509	266	171179990
128	80	1488976541	124	76	62	36	91	55	171179990
129	16	1521313559	122	71	217	117	267	142	171179990
130	65	1521298847	110	61	57	26	93	55	171179990
131	23	1489933295	98	43	216	103	255	131	171179990
132	38	1480576146	93	54	48	19	67	37	171179990
133	51	1482932037	92	50	132	66	150	81	171179990
134	88	1488652139	87	48	138	65	184	103	171179990
135	75	1486542302	75	45	229	137	276	132	171179990
136	73	1481648801	72	37	228	120	291	155	171179990
137	41	1490519879	71	34	396	215	441	234	171179990
138	2	1520275134	71	43	385	202	430	222	171179990
139	106	1521040486	71	30	189	86	237	129	171179990
140	19	1489851296	68	28	209	100	231	132	171179990
141	46	1442237696	67	35	166	84	222	125	171179990
142	87	1459921739	66	34	133	71	183	86	171179990
143	22	1481652790	64	44	345	204	372	168	171179990
144	78	1475652395	63	49	56	34	70	36	171179990
145	13	1481962456	61	29	143	64	200	113	171179990
146	10	1476576918	57	27	168	76	202	98	171179990
147	107	1481650200	55	30	86	39	96	47	171179990
148	93	1473913283	54	31	387	198	485	259	171179990
149	42	1468567947	53	30	283	169	317	152	171179990
150	89	1471421637	50	24	80	42	92	55	171179990
151	7	1480003715	49	18	464	264	575	277	171179990
152	28	1486015510	49	29	278	161	367	180	171179990
153	66	1480691380	44	11	40	20	27	14	171179990
154	50	1490514714	44	25	181	101	194	94	171179990
155	62	1520197309	43	25	296	139	332	192	171179990
156	90	1490421156	42	23	130	68	167	85	171179990
157	57	1488958072	41	30	208	135	274	124	171179990
158	3	1480689145	41	22	74	34	73	38	171179990
159	55	1480055198	40	15	84	38	104	55	171179990
160	8	1521226627	40	22	520	265	629	331	171179990
161	76	1453979411	39	16	173	81	208	106	171179990
162	71	1475921487	39	23	266	137	353	173	171179990
163	64	1455559845	39	20	105	59	136	72	171179990
164	104	1491653187	36	22	460	234	506	269	171179990
165	67	1476284105	35	20	286	177	310	142	171179990
166	61	1489839214	35	16	60	25	74	41	171179990
167	5	1443861259	34	20	222	144	329	138	171179990
168	1	1490510624	34	22	475	217	456	252	171179990
169	43	1521784737	33	21	123	71	197	96	171179990
170	105	1479983466	32	13	171	89	217	113	171179990
171	26	1489076268	32	17	356	188	428	231	171179990
172	39	1483038553	31	15	226	107	336	188	171179990
173	100	1489931223	30	10	149	70	201	113	171179990
174	31	1476539957	30	16	137	68	149	62	171179990
175	103	1488978983	29	15	62	28	55	27	171179990
176	27	1520759355	28	13	153	82	193	88	171179990
177	70	1476635540	27	16	193	113	258	135	171179990
178	48	1474298130	26	10	205	108	223	99	171179990
179	49	1470071307	24	12	155	89	167	85	171179990
180	69	1476175916	23	8	115	55	154	86	171179990
181	52	1491655802	23	7	68	31	86	43	171179990
