	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
0	14	1543703398	615	344	663	348	1020	477	143220156
1	74	1542895056	280	132	459	230	696	371	143220156
2	9	1543584270	266	138	498	258	571	264	143220156
3	86	1543510992	195	83	245	111	307	177	143220156
4	21	1537128046	144	73	303	144	440	228	143220156
5	11	1537467176	141	83	245	114	377	182	143220156
6	13	1542563944	118	49	119	53	178	100	143220156
7	4	1515879375	98	56	368	206	485	237	143220156
8	35	1541955484	85	43	559	280	803	425	143220156
9	6	1503885536	80	49	397	215	501	243	143220156
10	44	1536272892	76	41	605	313	656	343	143220156
11	1	1519069310	76	49	385	177	429	235	143220156
12	76	1542169615	74	37	112	57	188	96	143220156
13	97	1542909747	73	31	123	50	170	91	143220156
14	34	1535844246	72	30	168	86	319	171	143220156
15	27	1542634291	70	42	171	85	227	101	143220156
16	73	1535306506	68	34	166	77	268	144	143220156
17	32	1518958697	66	35	366	212	542	270	143220156
18	104	1543516421	66	26	370	189	437	238	143220156
19	25	1511118301	64	36	219	106	264	161	143220156
20	8	1542734141	63	32	456	221	549	291	143220156
21	17	1542382854	63	31	181	87	286	154	143220156
22	106	1536437054	62	26	139	67	243	149	143220156
23	98	1536173238	61	34	176	88	197	119	143220156
24	59	1510429778	61	33	200	96	278	143	143220156
25	68	1536010054	60	36	139	87	145	74	143220156
26	33	1542898803	60	30	99	48	141	57	143220156
27	5	1504407914	59	39	291	161	315	149	143220156
28	7	1542913243	58	34	422	215	525	292	143220156
29	22	1542907435	57	29	263	140	303	131	143220156
30	39	1516740170	56	22	175	85	254	155	143220156
31	41	1528914834	55	33	340	178	359	176	143220156
32	10	1500488862	52	24	137	58	167	90	143220156
33	62	1543329899	52	31	310	131	385	212	143220156
34	93	1515347271	47	25	372	205	392	197	143220156
35	46	1533580921	47	25	180	86	228	130	143220156
36	2	1534862022	44	21	330	178	457	221	143220156
37	53	1524327219	43	17	266	118	295	177	143220156
38	88	1533407052	42	19	168	86	219	116	143220156
39	54	1503248658	41	18	210	111	254	130	143220156
40	51	1542380445	41	21	140	64	159	82	143220156
41	23	1503784583	40	23	176	87	254	146	143220156
42	67	1539178613	40	28	251	148	282	131	143220156
43	56	1542912083	40	16	153	78	212	126	143220156
44	43	1499019592	40	18	127	68	182	97	143220156
45	50	1542710480	37	21	189	106	181	89	143220156
46	63	1536514233	35	19	173	93	247	121	143220156
47	36	1542472076	35	19	259	162	283	119	143220156
48	26	1543699082	31	13	423	211	399	216	143220156
49	87	1507509597	31	17	110	61	151	67	143220156
50	70	1497649030	30	21	212	128	263	112	143220156
51	111	1510425638	30	14	41	16	39	22	143220156
52	52	1481395747	30	15	56	30	69	38	143220156
53	65	1520620192	29	16	67	28	73	41	143220156
54	94	1543264563	29	18	133	67	169	97	143220156
55	48	1543268054	29	15	194	101	248	123	143220156
56	90	1534884761	28	13	124	60	164	86	143220156
57	45	1542117856	28	15	113	46	116	58	143220156
58	12	1512319630	28	9	176	91	237	112	143220156
59	19	1542719319	27	12	178	83	228	130	143220156
60	84	1493494522	27	11	249	132	256	124	143220156
61	28	1542644009	27	10	273	152	277	132	143220156
62	58	1501918735	26	13	67	36	102	63	143220156
63	72	1542522743	26	10	135	68	156	86	143220156
64	101	1518968273	25	16	158	77	178	84	143220156
65	30	1537052500	25	13	276	148	307	153	143220156
66	92	1498159528	25	12	27	20	54	26	143220156
67	55	1542474733	24	9	72	30	84	38	143220156
68	91	1475773366	24	7	42	13	42	29	143220156
69	47	1534449351	22	14	254	144	285	131	143220156
70	60	1456413982	22	10	116	62	129	65	143220156
71	110	1506013299	22	11	79	35	90	43	143220156
72	99	1528740466	21	12	221	107	270	155	143220156
73	15	1512244339	21	10	116	63	158	95	143220156
74	78	1475518431	21	13	50	24	72	33	143220156
75	89	1476811778	21	9	61	25	85	49	143220156
76	3	1504953339	21	9	101	44	87	53	143220156
77	102	1504249269	20	16	116	70	192	80	143220156
78	42	1505225618	20	11	213	135	347	152	143220156
79	107	1498690894	20	7	97	34	107	68	143220156
80	16	1536687985	20	6	224	120	240	126	143220156
81	57	1481302464	19	13	239	144	221	98	143220156
82	71	1505828750	19	8	292	149	336	185	143220156
83	40	1487501004	18	8	150	82	152	78	143220156
84	109	1480676131	18	11	101	52	106	55	143220156
85	20	1479920166	18	8	216	125	253	117	143220156
86	75	1502220873	18	9	206	102	275	124	143220156
87	18	1505059830	18	9	257	133	293	141	143220156
88	105	1466268305	17	10	101	45	137	78	143220156
89	61	1503082836	16	6	53	24	68	37	143220156
90	83	1506705627	16	10	64	30	87	34	143220156
91	81	1533404088	16	8	113	64	140	75	143220156
92	31	1534193181	16	8	148	83	168	76	143220156
