	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
0	74	1543729152	80	46	75	49	91	45	213648575
1	11	1540539956	75	42	63	33	69	32	213648575
2	2	1542440285	46	18	90	44	104	54	213648575
3	59	1542866115	45	17	67	35	104	60	213648575
4	34	1541319677	43	35	29	18	44	25	213648575
5	93	1540131693	42	23	75	47	82	45	213648575
6	4	1535826782	41	21	100	61	122	59	213648575
7	17	1542878926	39	18	31	21	52	35	213648575
8	26	1464810291	36	19	117	58	62	35	213648575
9	21	1466934636	26	13	97	53	121	74	213648575
10	1	1542701723	26	13	62	36	88	54	213648575
11	104	1541700688	25	13	120	66	102	54	213648575
12	25	1542001758	24	14	33	13	64	36	213648575
13	62	1462267665	23	7	82	42	87	59	213648575
14	35	1541704421	22	9	140	67	209	111	213648575
15	47	1461820240	19	12	106	55	79	44	213648575
16	39	1462139301	18	12	48	26	56	39	213648575
17	44	1543382000	18	10	154	83	221	100	213648575
18	76	1542872907	17	8	27	10	29	18	213648575
19	42	1535571990	17	6	64	32	75	39	213648575
20	8	1540537554	17	5	102	50	129	70	213648575
21	28	1464870323	16	12	57	42	71	36	213648575
22	18	1541190043	16	6	60	30	79	39	213648575
23	70	1541322165	15	10	70	40	71	41	213648575
24	54	1493147640	15	7	34	16	52	29	213648575
25	41	1534162055	15	6	52	33	66	37	213648575
26	73	1465129499	13	9	40	22	43	21	213648575
27	46	1502652959	13	8	23	10	47	26	213648575
28	82	1464948784	13	11	17	9	14	6	213648575
29	100	1533538667	11	4	40	20	52	30	213648575
30	7	1535900585	11	6	88	48	118	71	213648575
31	75	1534967533	11	5	35	14	41	24	213648575
32	16	1533414345	11	8	31	20	50	26	213648575
33	32	1542698435	10	4	121	57	144	67	213648575
34	30	1461862752	10	7	61	28	45	20	213648575
35	9	1542088364	9	6	58	24	67	34	213648575
36	14	1543733001	9	6	150	77	184	91	213648575
37	106	1535412396	8	4	28	13	32	22	213648575
38	56	1466932005	8	6	33	16	45	20	213648575
39	99	1535367317	8	3	47	24	76	44	213648575
40	29	1462463421	8	7	31	22	23	16	213648575
41	12	1535618454	7	5	57	37	79	45	213648575
42	50	1425107276	7	3	27	15	39	18	213648575
43	94	1535050284	7	5	20	11	42	17	213648575
44	22	1535465327	6	3	69	39	98	47	213648575
45	19	1542958621	6	3	43	18	54	33	213648575
46	52	1462606297	6	4	17	13	19	10	213648575
47	71	1462470753	6	2	72	36	93	52	213648575
48	95	1537407772	6	4	77	45	82	48	213648575
49	67	1536427008	6	3	51	32	66	35	213648575
50	107	1454261268	6	3	7	2	16	12	213648575
51	69	1535483320	6	3	18	11	31	17	213648575
52	96	1535830807	5	3	20	12	18	8	213648575
53	36	1463920120	5	4	55	35	60	24	213648575
54	51	1536413799	5	3	15	5	28	17	213648575
55	6	1536463819	5	4	86	46	127	56	213648575
56	88	1533846941	5	5	22	12	25	14	213648575
57	97	1441555281	5	3	22	10	19	14	213648575
58	57	1462791445	4	2	30	20	38	13	213648575
59	23	1542092740	4	0	27	15	31	24	213648575
60	63	1533411222	4	2	21	13	40	30	213648575
61	112	1533850400	3	2	12	7	18	8	213648575
62	10	1461802114	3	3	27	18	21	13	213648575
63	13	1541139553	3	3	16	8	38	23	213648575
64	58	1462557903	3	1	18	8	25	13	213648575
65	15	1462383268	3	1	18	6	37	17	213648575
66	61	1461961082	3	3	13	4	14	9	213648575
67	78	1466940813	3	1	7	3	13	7	213648575
68	89	1462615387	3	2	14	6	17	10	213648575
69	101	1462466958	3	1	20	10	37	21	213648575
70	20	1464815190	3	3	32	19	41	19	213648575
71	85	1433631317	3	1	17	15	25	12	213648575
72	5	1443162549	2	2	59	35	66	28	213648575
73	45	1430492230	2	1	16	4	25	18	213648575
74	33	1463718941	2	2	17	5	21	12	213648575
75	77	1461422548	2	0	15	10	18	10	213648575
76	105	1461142615	2	1	23	12	36	18	213648575
77	90	1466937741	2	1	8	6	15	10	213648575
78	121	1535956471	2	1	3	1	8	5	213648575
