	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
0	35	1541261093	70	43	167	86	199	102	145240635
1	26	1543713032	68	35	133	68	104	50	145240635
2	4	1497307418	54	30	91	48	117	57	145240635
3	64	1542580546	47	21	28	17	51	26	145240635
4	14	1542406773	35	22	186	91	280	135	145240635
5	28	1510801337	31	12	55	33	79	40	145240635
6	48	1542839972	30	19	51	28	66	35	145240635
7	59	1449563224	29	9	71	31	80	45	145240635
8	30	1524609956	27	14	69	42	74	38	145240635
9	47	1476355259	27	20	101	63	96	46	145240635
10	76	1518049644	26	11	40	18	44	20	145240635
11	53	1542567020	26	11	67	32	66	40	145240635
12	6	1542427803	25	13	147	81	132	61	145240635
13	39	1539734639	25	9	42	17	58	27	145240635
14	2	1542241997	25	16	115	63	112	52	145240635
15	5	1541905504	24	16	69	36	97	52	145240635
16	17	1543768012	23	15	94	49	80	42	145240635
17	13	1525121425	22	11	19	6	37	21	145240635
18	41	1543454654	21	9	54	27	100	54	145240635
19	99	1543358182	21	11	51	21	70	33	145240635
20	8	1542924560	21	8	100	47	138	83	145240635
21	7	1541624208	21	7	88	46	108	62	145240635
22	23	1534027916	20	12	37	15	60	34	145240635
23	20	1542159015	20	14	57	27	74	34	145240635
24	104	1534284836	19	10	78	35	103	52	145240635
25	32	1540135054	19	10	133	70	172	81	145240635
26	44	1512705617	18	11	117	56	166	98	145240635
27	54	1542064790	17	9	53	29	65	38	145240635
28	12	1539824156	17	10	46	24	68	32	145240635
29	81	1525394700	17	9	20	12	56	27	145240635
30	62	1530333899	16	9	83	44	89	44	145240635
31	70	1538956893	16	8	65	34	91	46	145240635
32	101	1539386792	15	8	49	26	52	29	145240635
33	18	1497045411	15	8	37	20	88	45	145240635
34	77	1512514253	14	7	25	15	25	6	145240635
35	63	1542850115	14	5	64	38	64	40	145240635
36	22	1541605970	14	9	82	43	79	38	145240635
37	71	1524173431	14	6	98	53	124	64	145240635
38	25	1539770104	14	5	79	43	70	45	145240635
39	43	1517216007	13	4	38	23	40	21	145240635
40	85	1543007337	13	6	21	17	32	15	145240635
41	11	1540746780	13	8	76	52	99	47	145240635
42	29	1512627570	12	6	36	16	45	24	145240635
43	27	1541632831	12	6	49	24	64	31	145240635
44	95	1497315489	12	6	30	11	55	26	145240635
45	21	1451202840	11	3	70	38	81	50	145240635
46	86	1516442641	11	5	67	32	65	32	145240635
47	40	1540334987	11	6	35	15	36	10	145240635
48	90	1511988607	11	5	31	13	32	15	145240635
49	98	1541559608	10	7	37	20	41	22	145240635
50	15	1512697682	10	2	29	9	42	23	145240635
51	49	1541107718	10	4	27	16	56	30	145240635
52	36	1542521019	10	9	41	23	65	34	145240635
53	67	1542589044	9	4	48	25	49	24	145240635
54	50	1543108238	9	6	41	29	34	14	145240635
55	84	1540770703	8	6	65	32	85	37	145240635
56	10	1541717104	8	2	34	14	28	19	145240635
57	1	1518107010	8	2	75	44	105	42	145240635
58	88	1512622347	8	4	35	20	45	28	145240635
59	100	1510606221	7	3	27	12	55	35	145240635
60	102	1525115233	7	3	50	26	46	20	145240635
61	42	1432026483	7	4	55	30	76	32	145240635
62	112	1542518594	7	2	12	6	22	11	145240635
63	19	1470203025	7	2	49	24	47	28	145240635
64	73	1541110096	6	1	28	10	55	27	145240635
65	83	1540855930	6	3	22	9	29	12	145240635
66	96	1542576900	6	5	37	25	40	26	145240635
67	75	1512192236	6	3	40	28	67	33	145240635
