	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
0	6	1543510455	237	136	119	66	163	91	336333581
1	64	1543058946	126	82	25	20	47	21	336333581
2	2	1542452675	111	78	131	72	189	95	336333581
3	71	1543055352	84	46	123	72	177	82	336333581
4	76	1542483697	79	39	55	27	69	38	336333581
5	67	1543646106	76	50	66	39	96	41	336333581
6	25	1542965960	73	40	61	26	81	55	336333581
7	99	1541846446	65	35	116	57	206	105	336333581
8	14	1541432481	59	32	388	224	319	167	336333581
9	12	1542197325	58	29	61	29	104	59	336333581
10	41	1543770035	56	25	78	42	141	76	336333581
11	42	1542109370	36	17	89	54	121	51	336333581
12	59	1538410106	34	19	81	39	89	52	336333581
13	10	1543079998	30	13	45	22	56	29	336333581
14	47	1540445274	28	17	71	38	110	76	336333581
15	35	1542633129	27	16	232	132	338	192	336333581
16	44	1535556280	25	15	161	93	207	97	336333581
17	72	1541932475	23	13	60	31	50	32	336333581
18	114	1541355395	23	12	105	53	110	72	336333581
19	22	1542143403	22	12	102	65	135	60	336333581
20	26	1543424908	22	10	111	52	130	81	336333581
21	49	1540405761	20	8	51	23	65	32	336333581
22	84	1542439504	19	6	129	76	115	50	336333581
23	48	1542551279	17	8	62	35	94	45	336333581
24	104	1538671666	17	6	214	114	145	86	336333581
25	75	1542871157	15	11	42	26	71	32	336333581
26	58	1542036983	14	6	22	9	45	27	336333581
27	1	1534622371	14	9	130	69	186	96	336333581
28	7	1541402424	14	4	115	55	197	115	336333581
29	40	1542299876	14	13	35	23	52	27	336333581
30	29	1542567383	12	4	25	16	41	22	336333581
31	32	1533306924	12	5	198	120	182	100	336333581
32	56	1541326038	12	6	97	50	71	40	336333581
33	36	1541926060	11	5	68	40	113	52	336333581
34	11	1538567015	10	2	187	103	136	68	336333581
35	15	1538930944	10	3	28	16	50	32	336333581
36	81	1537565965	10	5	91	51	129	67	336333581
37	103	1542736937	9	3	13	7	24	13	336333581
38	28	1542711926	9	1	66	35	115	55	336333581
39	94	1538130874	9	4	58	31	65	38	336333581
40	78	1543082461	9	3	11	5	17	8	336333581
41	101	1542610699	9	5	39	24	74	38	336333581
42	20	1536073472	8	4	47	21	97	44	336333581
43	54	1538563202	8	3	41	17	74	41	336333581
44	5	1540623794	8	5	70	41	135	64	336333581
45	8	1538892283	8	5	146	63	184	90	336333581
46	19	1538503299	8	5	31	16	55	33	336333581
47	63	1536779399	7	2	59	33	101	49	336333581
48	89	1513225209	7	3	12	8	22	11	336333581
49	46	1537287817	7	3	36	14	42	26	336333581
50	90	1527312912	7	2	25	13	34	16	336333581
51	50	1540841198	7	4	15	10	46	28	336333581
52	95	1535211612	7	3	89	47	87	49	336333581
53	96	1543339012	7	3	53	25	57	26	336333581
54	16	1533745512	6	4	50	31	57	30	336333581
55	93	1543142504	6	1	113	64	97	60	336333581
56	18	1538666001	6	3	105	48	161	89	336333581
57	110	1542490486	6	2	16	7	20	11	336333581
58	62	1541439243	5	4	68	31	82	48	336333581
59	9	1535392005	5	2	112	55	147	75	336333581
60	45	1542396717	5	2	32	13	35	22	336333581
61	69	1535486272	5	4	23	9	31	18	336333581
62	102	1537168160	5	1	28	16	32	17	336333581
63	4	1538496393	5	1	166	97	202	114	336333581
64	119	1522579885	5	3	83	40	45	29	336333581
65	107	1535377670	5	1	19	6	21	14	336333581
66	57	1542562602	5	4	26	15	50	30	336333581
67	120	1539286326	5	1	30	16	34	18	336333581
68	109	1534626090	5	2	30	22	43	25	336333581
69	27	1542225556	5	3	97	50	151	79	336333581
70	70	1541426891	5	4	72	36	85	47	336333581
71	61	1541400247	4	2	7	1	16	8	336333581
72	113	1534588975	4	1	50	27	24	8	336333581
73	34	1525349784	4	2	100	46	115	60	336333581
74	112	1539168543	4	1	20	13	27	17	336333581
75	83	1533742761	4	4	28	14	30	17	336333581
76	91	1520747426	3	1	12	6	13	6	336333581
77	88	1531673997	3	1	16	7	42	23	336333581
78	86	1515001219	3	0	38	17	79	39	336333581
79	77	1515175124	3	2	18	10	20	16	336333581
80	66	1538500092	3	0	3	0	8	3	336333581
81	21	1537000687	3	1	133	61	109	63	336333581
82	108	1537457919	3	1	25	15	30	10	336333581
83	53	1535175396	3	0	38	24	46	27	336333581
84	38	1528383359	3	1	13	7	16	10	336333581
85	98	1517315848	2	1	48	22	46	26	336333581
86	23	1534757600	2	1	79	40	109	63	336333581
87	100	1541944220	2	0	33	16	51	30	336333581
88	30	1527961217	2	1	52	31	65	33	336333581
89	31	1515510295	2	1	38	19	46	24	336333581
90	79	1540050935	2	2	7	5	21	13	336333581
91	92	1528027207	2	1	6	1	7	3	336333581
92	106	1535379587	2	1	44	20	54	31	336333581
93	39	1519381192	2	1	40	26	71	38	336333581
94	43	1532925077	2	1	16	9	38	19	336333581
95	74	1541352171	2	2	304	171	232	120	336333581
96	68	1518869286	2	1	18	11	25	12	336333581
97	73	1534849446	2	2	50	24	53	21	336333581
98	51	1522003351	1	0	24	11	40	16	336333581
99	80	1504167157	1	1	11	4	22	14	336333581
100	17	1530198999	1	0	68	39	74	38	336333581
101	82	1537422675	1	0	22	12	39	24	336333581
102	33	1534924282	1	0	10	3	39	23	336333581
103	105	1501678543	1	0	28	13	42	22	336333581
104	37	1536566885	1	0	24	18	25	10	336333581
105	85	1538419653	1	1	24	11	33	16	336333581
106	65	1526648650	1	0	11	5	11	6	336333581
107	97	1515251985	1	0	24	10	50	26	336333581
108	87	1542140105	1	1	26	8	47	25	336333581
109	121	1541436481	1	0	23	12	20	9	336333581
110	60	1518802254	1	1	24	14	38	20	336333581
111	111	0	0	0	19	11	12	7	336333581
112	55	0	0	0	6	4	17	11	336333581
113	52	0	0	0	7	4	15	11	336333581
114	13	0	0	0	35	15	28	16	336333581
115	3	0	0	0	19	10	23	13	336333581
116	23	1542831369	144	70	60	24	60	28	411975367
117	14	1542567608	117	68	161	75	205	80	411975367
118	35	1542571754	70	27	142	71	131	55	411975367
119	105	1542810628	50	20	34	11	32	19	411975367
120	73	1541847426	48	23	20	6	34	19	411975367
121	32	1542483747	42	21	94	45	80	28	411975367
122	18	1542644999	42	21	61	37	56	35	411975367
123	45	1541625264	31	16	9	6	22	12	411975367
124	93	1542659769	28	8	49	23	66	32	411975367
125	54	1535219677	27	13	52	19	34	16	411975367
126	104	1541699156	24	9	77	36	87	40	411975367
127	7	1542642355	23	7	64	28	114	56	411975367
128	74	1541696742	21	11	113	49	178	71	411975367
129	76	1541791008	20	8	30	13	53	22	411975367
130	27	1542372212	19	12	63	27	63	25	411975367
131	21	1541108235	16	7	49	21	67	28	411975367
132	53	1542907723	13	6	27	11	28	22	411975367
133	60	1542048245	13	6	21	9	13	3	411975367
134	103	1535541473	11	7	14	5	11	6	411975367
135	41	1541775019	11	4	85	37	73	33	411975367
136	22	1542295718	11	7	72	37	79	29	411975367
137	51	1542375258	10	3	12	9	23	9	411975367
138	28	1525981385	9	4	33	14	57	26	411975367
139	49	1540547893	9	4	36	19	61	20	411975367
140	81	1542480470	9	6	36	19	51	24	411975367
141	11	1541007688	9	3	61	22	117	54	411975367
142	63	1542477185	8	1	35	14	46	22	411975367
143	79	1540662063	8	4	12	5	19	7	411975367
144	75	1541439562	7	6	59	25	28	12	411975367
145	50	1525878649	7	3	21	7	28	10	411975367
146	67	1541961134	7	5	42	19	55	17	411975367
147	114	1528792372	7	1	45	20	56	33	411975367
148	101	1541192359	6	1	38	14	31	14	411975367
149	19	1525769372	6	2	25	12	36	17	411975367
150	85	1534625906	6	3	24	11	13	7	411975367
151	10	1542120973	6	2	23	12	39	18	411975367
152	58	1525624110	6	1	24	12	22	11	411975367
153	26	1527821289	5	3	64	29	72	33	411975367
154	99	1535354466	5	1	53	27	66	25	411975367
155	72	1541859978	5	3	21	10	29	14	411975367
156	77	1534975025	5	3	6	3	14	6	411975367
157	44	1526043834	4	2	104	51	116	52	411975367
158	96	1540529902	4	0	14	9	41	16	411975367
159	36	1534824138	4	2	49	14	44	18	411975367
160	25	1528005346	4	3	42	16	48	24	411975367
161	84	1542663080	4	2	19	10	62	28	411975367
162	62	1528207097	4	3	38	19	43	14	411975367
163	70	1541367029	4	2	41	21	44	13	411975367
164	64	1542315691	4	1	34	18	49	24	411975367
165	30	1541432139	3	1	20	7	45	20	411975367
166	47	1526132270	3	1	64	33	40	21	411975367
167	109	1526127743	3	2	37	19	22	9	411975367
168	112	1534600965	3	0	12	5	32	15	411975367
169	102	1535573251	3	1	15	6	19	8	411975367
170	9	1528446361	3	2	70	37	92	43	411975367
171	8	1535339986	3	2	126	54	120	53	411975367
172	100	1535138083	3	0	30	15	40	23	411975367
173	61	1528307324	2	1	4	1	15	5	411975367
174	38	1541084248	2	0	6	3	5	2	411975367
175	33	1525448401	2	0	17	7	31	16	411975367
176	68	1534834115	2	0	9	3	24	12	411975367
177	69	1540551064	2	0	18	6	25	14	411975367
178	20	1540569298	2	0	25	11	52	20	411975367
179	12	1525642966	2	0	43	16	44	16	411975367
180	83	1528226547	2	1	13	4	16	5	411975367
181	56	1525765978	2	0	22	11	50	29	411975367
182	120	1540908164	2	0	26	8	34	14	411975367
183	86	1541337599	2	0	42	15	51	23	411975367
184	87	1534680023	2	0	18	4	35	17	411975367
